No.0, , , , ,Switch:4, ,Switch:5, , ,Go-to:1,Go-to:2,Go-to:3, , , , , 
No.1, , ,Switch:6, , , , , , , , , , , , , ,ACEPTACION:-1
No.2, , ,reduce:1,Switch:7, , , ,reduce:1, , , , , , , , ,reduce:1
No.3, , ,reduce:3,reduce:3, , , ,reduce:3, , , , , , , , ,reduce:3
No.4, , ,reduce:4,reduce:4, , , ,reduce:4, , , , , , , , ,reduce:4
No.5, , , , ,Switch:4, ,Switch:5, , ,Go-to:8,Go-to:2,Go-to:3, , , , , 
No.6, , , , ,Switch:4, ,Switch:5, , , ,Go-to:13,Go-to:3, , , , , 
No.7, , , , ,Switch:4, ,Switch:5, , , , ,Go-to:14, , , , , 
No.8, , ,Switch:6, , , , ,Switch:15, , , , , , , , , 
No.13, , ,reduce:0,Switch:7, , , ,reduce:0, , , , , , , , ,reduce:0
No.14, , ,reduce:2,reduce:2, , , ,reduce:2, , , , , , , , ,reduce:2
No.15, , ,reduce:5,reduce:5, , , ,reduce:5, , , , , , , , ,reduce:5
