No.0, , , , , , ,Switch:5,Switch:6, ,Switch:10,Go-to:2,Go-to:3,Go-to:4,Go-to:1,Go-to:7,Go-to:8,Go-to:9, 
No.1, , , , , , , , , , , , , , , , , ,ACEPTACION:-1
No.2, , ,Switch:11, , , , , , , , , , , , , , ,reduce:0
No.3, , ,reduce:2,Switch:12, , , , ,reduce:2, , , , , , , , ,reduce:2
No.4, , ,reduce:4,reduce:4, , , , ,reduce:4, , , , , , , , ,reduce:4
No.5, , ,reduce:5,reduce:5, , , , ,reduce:5, , , , , , , , ,reduce:5
No.6, , , , , , ,Switch:5,Switch:6, ,Switch:10,Go-to:13,Go-to:3,Go-to:4, ,Go-to:18,Go-to:8,Go-to:9, 
No.7,Switch:21, , , , ,Switch:20, , ,Switch:31, , , , , , , , , 
No.8,reduce:9,Switch:22,reduce:9,reduce:9, ,reduce:9, , ,reduce:9, , , , , , , , ,reduce:9
No.9,reduce:11,reduce:11,reduce:11,reduce:11, ,reduce:11, , ,reduce:11, , , , , , , , ,reduce:11
No.10,reduce:12,reduce:12,reduce:12,reduce:12, ,reduce:12, , ,reduce:12, , , , , , , , ,reduce:12
No.11, , , , , , ,Switch:5,Switch:6, ,Switch:10, ,Go-to:23,Go-to:4, ,Go-to:7,Go-to:8,Go-to:9, 
No.12, , , , , , ,Switch:5,Switch:6, ,Switch:10, , ,Go-to:24, ,Go-to:7,Go-to:8,Go-to:9, 
No.13, , ,Switch:11, , , , , ,Switch:25, , , , , , , , , 
No.18,Switch:30, , , , ,Switch:20, , ,Switch:31, , , , , , , , , 
No.20, , , , , , , ,Switch:36, ,Switch:10, , , , ,Go-to:32,Go-to:8,Go-to:9, 
No.21, , , , , , , ,Switch:36, ,Switch:10, , , , , ,Go-to:37,Go-to:9, 
No.22, , , , , , , ,Switch:36, ,Switch:10, , , , , , ,Go-to:39, 
No.23, , ,reduce:1,Switch:12, , , , ,reduce:1, , , , , , , , ,reduce:1
No.24, , ,reduce:3,reduce:3, , , , ,reduce:3, , , , , , , , ,reduce:3
No.25, , ,reduce:6,reduce:6, , , , ,reduce:6, , , , , , , , ,reduce:6
No.27, , , , , , ,Switch:5,Switch:6, ,Switch:10, , ,Go-to:24, ,Go-to:18,Go-to:8,Go-to:9, 
No.30, , , , , , , ,Switch:36, ,Switch:10, , , , , ,Go-to:48,Go-to:9, 
No.31,reduce:13,reduce:13,reduce:13,reduce:13, ,reduce:13, , ,reduce:13, , , , , , , , ,reduce:13
No.32,Switch:52, ,reduce:7,reduce:7, , , , ,reduce:7, , , , , , , , ,reduce:7
No.36, , , , , , , ,Switch:36, ,Switch:10, , , , ,Go-to:54,Go-to:8,Go-to:9, 
No.37,reduce:8,Switch:22, , , ,reduce:8, , , , , , , , , , , , 
No.39,reduce:10,reduce:10,reduce:10,reduce:10, ,reduce:10, , ,reduce:10, , , , , , , , ,reduce:10
No.40, , ,reduce:1,Switch:27, , , , ,reduce:1, , , , , , , , , 
No.48,reduce:8,Switch:61, , , ,reduce:8, , ,reduce:8, , , , , , , , , 
No.52, , , , , , , ,Switch:36, ,Switch:10, , , , , ,Go-to:65,Go-to:9, 
No.53, , , , , , , ,Switch:36, ,Switch:10, , , , , , ,Go-to:39, 
No.54,Switch:68, , , , , , , ,Switch:31, , , , , , , , , 
No.60, , , , , , , ,Switch:36, ,Switch:10, , , , , ,Go-to:71,Go-to:9, 
No.61, , , , , , , ,Switch:36, ,Switch:10, , , , , , ,Go-to:39, 
No.65,reduce:8,Switch:53,reduce:8,reduce:8, , , , ,reduce:8, , , , , , , , ,reduce:8
No.68, , , , , , , ,Switch:36, ,Switch:10, , , , , ,Go-to:76,Go-to:9, 
No.71,reduce:8,Switch:61,reduce:8,reduce:8, , , , ,reduce:8, , , , , , , , , 
No.76,reduce:8,Switch:61, , , , , , ,reduce:8, , , , , , , , , 
